stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
BEHI,"Behinière",,47.197018,-1.790934,,,1,,
BEIL,"Beillevaire",,47.249556,-1.607395,,,1,,
DPBL,"Bêle",,47.264932,-1.510621,,,1,,
BEMZ,"Belges - Montbazon",,47.234650,-1.540958,,,1,,
BENA,"Beaulieu",,47.204148,-1.537142,,,1,,
BEOC,"Belloc",,47.203053,-1.614715,,,1,,
BESS,"Bessonneau",,47.214832,-1.713769,,,1,,
BETO,"Belle Etoile",,47.280684,-1.452062,,,1,,
BEVA,"Beauvaiserie",,47.136228,-1.654178,,,1,,
BGAR,"Bonne Garde",,47.196988,-1.531264,,,1,,
BGCY,"Beaugency",,47.203815,-1.490189,,,1,,
BGLA,"Basse-Goulaine",,47.210391,-1.466036,,,1,,
BGNN,"Bourgonnière",,47.206648,-1.655453,,,1,,
BGOG,"Bourgogne",,47.246342,-1.589284,,,1,,
BGRI,"Bougrière",,47.255089,-1.471747,,,1,,
BGSH,"Bergerie",,47.237165,-1.628700,,,1,,
BGTT,"Bergeronnettes",,47.239567,-1.601253,,,1,,
BGUT,"Louis Breguet",,47.272012,-1.465998,,,1,,
BGVI,"Bougainville",,47.198978,-1.583575,,,1,,
BHAR,"Bois Hardy",,47.198285,-1.600544,,,1,,
BHLR,"Basse Hillière",,47.286675,-1.426879,,,1,,
BIAN,"Aristide Briand",,47.296421,-1.494989,,,1,,
BIEE,"Belle Île",,47.223710,-1.731615,,,1,,
BIGN,"Bignons",,47.199724,-1.493526,,,1,,
BILE,"Basse Île",,47.195965,-1.562133,,,1,,
BIND,"Basse-Indre",,47.197547,-1.672096,,,1,,
BIOT,"Bigeottière",,47.256045,-1.619525,,,1,,
BISS,"Bossis",,47.212563,-1.712929,,,1,,
BJLI,"Bois Jaulin",,47.177552,-1.637016,,,1,,
BJOI,"Beaujoire",,47.258849,-1.524931,,,1,,
BLCH,"Blancho",,47.213282,-1.734652,,,1,,
BLDR,"Boulodrome",,47.258341,-1.514231,,,1,,
BLEM,"Belem",,47.265613,-1.453010,,,1,,
BLGO,"Berligout",,47.215771,-1.678398,,,1,,
BLL9,"Bellestre",,47.148413,-1.694361,,,1,,
BLLE,"Bellestre",,47.147893,-1.694008,,,1,,
BLNO,"Bois de La Noé",,47.141759,-1.671437,,,1,,
BLOR,"Blordière",,47.180007,-1.533894,,,1,,
BLSL,"Bellevue",,47.235328,-1.473694,,,1,,
BLUA,"Bélouga",,47.165749,-1.583668,,,1,,
BLVU,"Mendès France - Bellevue",,47.208893,-1.611312,,,1,,
BLZZ,"Berlioz",,47.239674,-1.571515,,,1,,
BNCH,"Blanchetière",,47.289865,-1.555882,,,1,,
BNDA,"Brindais",,47.138936,-1.718202,,,1,,
BNET,"Bignonnet",,47.175519,-1.465097,,,1,,
BNGL,"Bénoni Goullin",,47.201502,-1.553651,,,1,,
BNIE,"Bournière",,47.254357,-1.455368,,,1,,
BNLU,"Bénélux",,47.254089,-1.499094,,,1,,
BNNO,"Bernanos",,47.206162,-1.613859,,,1,,
BNON,"Bignon",,47.249082,-1.597756,,,1,,
BNTA,"BN",,47.184663,-1.496343,,,1,,
BNVI,"Bonneville",,47.243969,-1.536475,,,1,,
BOCE,"Centre de Bouguenais",,47.179360,-1.622914,,,1,,
BODO,"Bourdonnières",,47.186375,-1.522291,,,1,,
BOFA,"Bouffay",,47.214567,-1.552600,,,1,,
BOGE,"Bourgeonnière",,47.252943,-1.561313,,,1,,
BOLL,"Bois Tillac",,47.200179,-1.771277,,,1,,
BOND,"Bonde",,47.222548,-1.551893,,,1,,
BORL,"Bourrelière",,47.158333,-1.498414,,,1,,
BOSI,"Boissière",,47.255217,-1.565768,,,1,,
BOTI,"Boutière",,47.157253,-1.468092,,,1,,
BOUE,"Bio Ouest Laënnec",,47.232755,-1.641881,,,1,,
BOVR,"Bouvre",,47.178032,-1.612460,,,1,,
BPTY,"Boulay Paty",,47.228801,-1.576632,,,1,,
BRAG,"Bois Raguenet",,47.266830,-1.600386,,,1,,
BRBI,"Bois Robillard",,47.235638,-1.519897,,,1,,
BRCH,"Bréchetière",,47.284697,-1.503680,,,1,,
BRDI,"Briandière",,47.190528,-1.693708,,,1,,
BRET,"Bretonnière",,47.166503,-1.462860,,,1,,
BRGA,"Beauregard",,47.210723,-1.656561,,,1,,
BRIN,"Brains",,47.170786,-1.718996,,,1,,
BRLA,"Brouillard",,47.273154,-1.514942,,,1,,
BRLN,"Berlin",,47.216536,-1.536224,,,1,,
BRNI,"Baronnière",,47.259626,-1.603746,,,1,,
BROS,"Brossais",,47.162590,-1.585625,,,1,,
BRTA,"Bretagne",,47.217071,-1.558186,,,1,,
BRUN,"Bruneau",,47.227962,-1.561387,,,1,,
BRVI,"Boris Vian",,47.153144,-1.683579,,,1,,
BSAN,"Bobby Sands",,47.229891,-1.653019,,,1,,
BSEJ,"Beauséjour",,47.237918,-1.586113,,,1,,
BSNI,"Bussonnière",,47.268945,-1.443056,,,1,,
BSOL,"Beau Soleil",,47.177654,-1.644639,,,1,,
BSTI,"Bastière",,47.148432,-1.459405,,,1,,
BSYS,"Bois St-Lys",,47.300376,-1.481911,,,1,,
BTAI,"Bretinais",,47.221814,-1.665884,,,1,,
BTEC,"Bretéché",,47.225931,-1.547515,,,1,,
BTIE,"Bottière",,47.240228,-1.518125,,,1,,
BTLE,"Bouteillerie",,47.221691,-1.542809,,,1,,
BTRA,"Bertrand",,47.257031,-1.575795,,,1,,
BUGA,"Bugallière",,47.259964,-1.637655,,,1,,
BULA,"Butte des Landes",,47.160779,-1.493786,,,1,,
BUON,"Bougon",,47.174341,-1.610735,,,1,,
BUSS,"Buisson",,47.260605,-1.487422,,,1,,
BVDI,"Bouvardière",,47.238484,-1.598377,,,1,,
BVER,"Bouvernière",,47.238058,-1.611452,,,1,,
BVOI,"Beauvoir",,47.178517,-1.631204,,,1,,
BYCE,"Centre de Bouaye",,47.143895,-1.691696,,,1,,
BYGA,"Gare de Bouaye",,47.138384,-1.680839,,,1,,
BYTO,"Bouaye Coteaux",,47.164778,-1.678865,,,1,,
BZAR,"Buzardières",,47.207253,-1.659631,,,1,,
CABR,"Cabrol",,47.203259,-1.588597,,,1,,
CACE,"Centre de Carquefou",,47.297145,-1.490129,,,1,,
CADO,"Cadoire",,47.256712,-1.488047,,,1,,
CAGE,"Chalonges",,47.276136,-1.429397,,,1,,
CAHL,"Charlière",,47.321012,-1.550556,,,1,,
CAIO,"Caillou Blanc",,47.298647,-1.585569,,,1,,
CALI,"Californie",,47.191885,-1.584229,,,1,,
CANC,"Canclaux",,47.213875,-1.574746,,,1,,
CAPE,"Capellia",,47.279677,-1.554964,,,1,,
CARQ,"Carquefou",,47.303680,-1.485583,,,1,,
CAST,"Castorama",,47.258966,-1.506961,,,1,,
CATI,"Cartier",,47.268203,-1.455502,,,1,,
CAUX,"Château D'Aux",,47.185259,-1.673875,,,1,,
CBAC,"Bac de Couëron",,47.206002,-1.751600,,,1,,
CBEA,"Charbonneau",,47.300630,-1.490803,,,1,,
CBGE,"Chapeau Berger",,47.171664,-1.468820,,,1,,
CBIN,"Corbinerie",,47.161605,-1.542136,,,1,,
CBLE,"Chemin Bleu",,47.178337,-1.525126,,,1,,
CBOU,"Couëron Bougon",,47.225079,-1.734014,,,1,,
CBRD,"Claude Bernard",,47.223167,-1.611931,,,1,,
CBSS,"Cambronne",,47.206554,-1.506365,,,1,,
CBTE,"Choblèterie",,47.136209,-1.461422,,,1,,
CCAN,"Couchant",,47.268488,-1.599603,,,1,,
CCDI,"Cochardières",,47.229921,-1.633190,,,1,,
CCHA,"Couchant",,47.270203,-1.513662,,,1,,
CCOU,"Champ de Courses",,47.244514,-1.561220,,,1,,
CCRE,"Chêne Creux",,47.169993,-1.548398,,,1,,
CDAN,"Chêne des Anglais",,47.261538,-1.573086,,,1,,
CDCO,"Cité des Congrès",,47.213711,-1.545016,,,1,,
CDMA,"Champ de Manoeuvre",,47.272693,-1.500729,,,1,,
CECE,"Centre de La Chapelle",,47.299137,-1.548429,,,1,,
CEDR,"Cèdre",,47.299441,-1.560254,,,1,,
CEER,"Chapellerie",,47.282907,-1.423152,,,1,,
CEGA,"Gare de La Chapelle",,47.296979,-1.548871,,,1,,
CELL,"Le Cellier",,47.326762,-1.348001,,,1,,
CFOI,"Champ de Foire",,47.124231,-1.618921,,,1,,
CGAU,"Cimetière Gaudinière",,47.242892,-1.582889,,,1,,
CGLA,"Chêne Gala",,47.183925,-1.539807,,,1,,
CHAB,"Chabossière",,47.215477,-1.682430,,,1,,
CHBE,"Chambelles",,47.231629,-1.530628,,,1,,
CHER,"La Cochère",,47.200415,-1.778301,,,1,,
CHFL,"Champ Fleuri",,47.144092,-1.525678,,,1,,
CHGN,"Châtaigniers",,47.222083,-1.602805,,,1,,
CHIN,"La Chesnaie",,47.281671,-1.537591,,,1,,
CHLI,"Cholière",,47.251000,-1.606715,,,1,,
CHME,"Charmes",,47.191092,-1.461115,,,1,,
CHNI,"Charbonnière",,47.263836,-1.641775,,,1,,
CHOC,"Chocolaterie",,47.242873,-1.527701,,,1,,
CHPO,"Champonnière",,47.163523,-1.505689,,,1,,
CHRE,"Chalâtres",,47.231851,-1.537832,,,1,,
CHSS,"Chaussée",,47.177239,-1.522057,,,1,,
CHTE,"Châtelets",,47.196881,-1.540533,,,1,,
CHVE,"Chauvais",,47.337400,-1.571665,,,1,,
CHZY,"Chanzy",,47.224146,-1.544898,,,1,,
CIGL,"Chai Gallais",,47.137001,-1.721574,,,1,,
CIVL,"Circuit du Vallon",,47.273647,-1.447419,,,1,,
CJOS,"Cimetière St-Joseph",,47.268184,-1.521587,,,1,,
CLAM,"Clos Ami",,47.212226,-1.655678,,,1,,
CLBO,"Clos Bonnet",,47.190409,-1.565129,,,1,,
CLET,"Clétras",,47.255428,-1.510712,,,1,,
CLGE,"Chalonges",,47.189209,-1.472349,,,1,,
CLMO,"Cimetière La Montagne",,47.187472,-1.686557,,,1,,
CLNA,"Colonac",,47.225074,-1.602823,,,1,,
CLOT,"Clotais",,47.193146,-1.718422,,,1,,
CLPT,"Clépettre",,47.296677,-1.547066,,,1,,
CLRO,"Clos Roux",,47.198662,-1.750925,,,1,,
CLSE,"Closeaux",,47.239180,-1.628000,,,1,,
CLTT,"Châlet",,47.229977,-1.544142,,,1,,
CLUE,"Clouet",,47.167490,-1.510853,,,1,,
CLZE,"Clouzeaux",,47.179312,-1.492604,,,1,,
CMAR,"Cirque - Marais",,47.218147,-1.557084,,,1,,
CMCI,"Clémencière",,47.269488,-1.435727,,,1,,
CMLL,"Charmille",,47.257169,-1.605950,,,1,,
CMNE,"Commune 1871",,47.199141,-1.500069,,,1,,
CMOU,"Clos du Moulin",,47.145163,-1.521314,,,1,,
CMRA,"Cormerais",,47.194689,-1.626955,,,1,,
CMSY,"Carrière Misery",,47.199635,-1.580896,,,1,,
CMUS,"Camus",,47.219160,-1.572686,,,1,,
CNAV,"Chantiers Navals",,47.208849,-1.567797,,,1,,
CNCE,"Chenonceau",,47.272635,-1.434476,,,1,,
CNGO,"Congo",,47.239621,-1.610142,,,1,,
CNLA,"Canal",,47.216020,-1.471952,,,1,,
CNNT,"Chemin Nantais",,47.288697,-1.433710,,,1,,
CNON,"Chinon",,47.274136,-1.429006,,,1,,
CNTR,"Centaure",,47.170001,-1.626988,,,1,,
CNVR,"Chêne Vert",,47.286259,-1.439465,,,1,,
COAY,"Corlay",,47.207944,-1.644141,,,1,,
COCH,"Cochard",,47.224546,-1.549619,,,1,,
COET,"Les Couëts",,47.180692,-1.586688,,,1,,
COHO,"Chohonnière",,47.263147,-1.486022,,,1,,
COLI,"Colinière",,47.235870,-1.508363,,,1,,
COMM,"Commerce",,47.213545,-1.556233,,,1,,
CONI,"Corniche",,47.252854,-1.594754,,,1,,
CORA,"Conraie",,47.260829,-1.588251,,,1,,
COST,"Cousteau",,47.240513,-1.513075,,,1,,
COTA,"Coutancière",,47.306174,-1.560077,,,1,,
COUD,"Coudray",,47.232542,-1.542367,,,1,,
CP3R,"Chapelles",,47.163566,-1.538513,,,1,,
CP4L,"Chapelle Laënnec",,47.235350,-1.637786,,,1,,
CPER,"Copernic - Musées",,47.214873,-1.564478,,,1,,
CPGT,"Capitaine Grant",,47.261769,-1.669478,,,1,,
CPRE,"Chaupières",,47.243147,-1.495052,,,1,,
CPTE,"Chapelet",,47.132454,-1.642250,,,1,,
CQGU,"Chat qui Guette",,47.191982,-1.697458,,,1,,
CQLU,"Coqueluchon",,47.184110,-1.470254,,,1,,
CRAI,"Clairais",,47.275551,-1.438568,,,1,,
CRBE,"Corberie",,47.152457,-1.523960,,,1,,
CRCE,"Courocerie",,47.251773,-1.499361,,,1,,
CREZ,"Château de Rezé",,47.184812,-1.559761,,,1,,
CRME,"Crémetterie",,47.218238,-1.607660,,,1,,
CRNO,"Corbon",,47.212350,-1.461334,,,1,,
CROU,"Chemin Rouge",,47.251578,-1.517609,,,1,,
CRPO,"Criport",,47.158334,-1.503565,,,1,,
CRQU,"Place du Cirque",,47.216998,-1.556775,,,1,,
CRRO,"Claire Roman",,47.154704,-1.591494,,,1,,
CRSA,"Croissant",,47.240423,-1.530521,,,1,,
CRTI,"Crétinières",,47.276524,-1.553206,,,1,,
CRVA,"Cravate",,47.243341,-1.588409,,,1,,
CSAY,"Chassay",,47.245672,-1.484732,,,1,,
CSCL,"Cimetière St-Clair",,47.216597,-1.592386,,,1,,
CSGR,"Cassegrain",,47.187887,-1.489603,,,1,,
CSHB,"Carrières",,47.208223,-1.638046,,,1,,
CSIB,"Clos Siban",,47.210230,-1.646412,,,1,,
CSMP,"Casimir Perier",,47.231976,-1.568249,,,1,,
CSRI,"Classerie",,47.168032,-1.558759,,,1,,
CSTA,"Collège Ste-Anne",,47.294963,-1.492436,,,1,,
CSTE,"Casterneau",,47.227083,-1.532712,,,1,,
CSVA,"Conservatoire",,47.207045,-1.533019,,,1,,
CTAR,"Cotalard",,47.286174,-1.537795,,,1,,
CTBO,"Coteaux",,47.184614,-1.670172,,,1,,
CTEU,"Caboteurs",,47.186425,-1.587247,,,1,,
CTIE,"Châtelier",,47.184665,-1.593132,,,1,,
CTLI,"Courteline",,47.236440,-1.586929,,,1,,
CTNS,"Carterons",,47.218213,-1.739412,,,1,,
CTOR,"Clos Toreau",,47.194334,-1.529102,,,1,,
CTRE,"Chantrerie - Grandes Écoles",,47.281816,-1.516997,,,1,,
CTYY,"Coty",,47.249014,-1.488004,,,1,,
CUGA,"Gare de Couëron",,47.221872,-1.724298,,,1,,
CUIE,"Chausserie",,47.149426,-1.704234,,,1,,
CUPI,"Coupries",,47.191586,-1.467298,,,1,,
CURI,"Curie",,47.190436,-1.486997,,,1,,
CUVI,"Cuvier",,47.210399,-1.573216,,,1,,
CVBL,"Cheveux Blancs",,47.265457,-1.635047,,,1,,
CVDO,"Cimetière Vieux Doulon",,47.238493,-1.500403,,,1,,
CVER,"Chapeau Verni",,47.189154,-1.508984,,,1,,
CVLE,"Chevalerie",,47.252302,-1.545294,,,1,,
CVNI,"Chauvinière",,47.251466,-1.572065,,,1,,
CVRN,"Cheverny",,47.246005,-1.604797,,,1,,
CVTI,"Convention",,47.211412,-1.586597,,,1,,
CXFS,"Croix des Fosses",,47.213339,-1.466358,,,1,,
CZIN,"Chézine",,47.233756,-1.599017,,,1,,
DAKK,"Danemark",,47.260967,-1.498574,,,1,,
DALB,"Dalby",,47.225505,-1.529183,,,1,,
DANU,"Danube",,47.304490,-1.501781,,,1,,
DAVU,"Davum",,47.264983,-1.495992,,,1,,
DAYA,"Dayat",,47.201979,-1.677114,,,1,,
DCAN,"Duchesse Anne - Château",,47.216203,-1.547561,,,1,,
DCFF,"Du Chaffault",,47.207647,-1.581985,,,1,,
DEMO,"Desmoulins",,47.233474,-1.521249,,,1,,
DERV,"Dervallières",,47.228796,-1.598317,,,1,,
DGLE,"De Gaulle",,47.301013,-1.553041,,,1,,
DIAN,"Diane",,47.239736,-1.577996,,,1,,
DIDE,"Espace Diderot",,47.184485,-1.562995,,,1,,
DLCR,"Delacroix",,47.223645,-1.589419,,,1,,
DLLE,"Drillet",,47.234854,-1.666294,,,1,,
DLME,"Delorme",,47.215227,-1.564157,,,1,,
DMAI,"Domaine",,47.178422,-1.469727,,,1,,
DMUR,"Dumont d'Urville",,47.225866,-1.636393,,,1,,
DNAI,"Danais",,47.213640,-1.589559,,,1,,
DOCE,"Doucet",,47.277927,-1.632660,,,1,,
DOLT,"Dolto",,47.216455,-1.636179,,,1,,
DOME,"Doumer",,47.221699,-1.578174,,,1,,
DOTT,"Douettée",,47.207739,-1.498286,,,1,,
DPTE,"Déportés",,47.196331,-1.491794,,,1,,
DRAD,"Désirade",,47.277839,-1.484123,,,1,,
DRID,"Druides",,47.238630,-1.507401,,,1,,
DRLA,"Drouillard",,47.179265,-1.677830,,,1,,
DROI,"Droitière",,47.308205,-1.373100,,,1,,
DSAI,"Desaix",,47.227549,-1.542131,,,1,,
DSNE,"Desnerie",,47.277937,-1.540644,,,1,,
DUKA,"Dukas",,47.235257,-1.602538,,,1,,
DUNA,"Dunant",,47.243908,-1.521549,,,1,,
DUTR,"Duguay Trouin",,47.224239,-1.616446,,,1,,
EBCA,"Embarcadère",,47.194084,-1.646534,,,1,,
ECBU,"Écobuts",,47.193932,-1.507796,,,1,,
ECHO,"Échoppes",,47.143917,-1.685390,,,1,,
ECOS,"Écosse",,47.215160,-1.526363,,,1,,
ECSU,"École Centrale - Audencia",,47.248540,-1.551554,,,1,,
ECTE,"Enchanterie",,47.230051,-1.524095,,,1,,
EDIP,"Edith Piaf",,47.228332,-1.624060,,,1,,
EDNA,"Édit de Nantes",,47.214406,-1.568694,,,1,,
EDRE,"Erdreau",,47.291043,-1.501553,,,1,,
EGAN,"Eglantine",,47.235180,-1.588101,,,1,,
EGLI,"Égalité",,47.209471,-1.588817,,,1,,
EINS,"Einstein",,47.263953,-1.570854,,,1,,
ELIS,"Eglise",,47.168526,-1.720221,,,1,,
EMBE,"Embellie",,47.264708,-1.518646,,,1,,
ENCO,"Ennerie Corbon",,47.141896,-1.704973,,,1,,
EPEL,"Écoles",,47.197790,-1.759322,,,1,,
EPIN,"Épinais",,47.136307,-1.610539,,,1,,
EPYY,"Epinay",,47.292342,-1.486907,,,1,,
EQPE,"Équipement",,47.223866,-1.575780,,,1,,
ERAC,"Erdre Active",,47.283154,-1.544067,,,1,,
ERDI,"Éraudière",,47.243042,-1.534880,,,1,,
ESAV,"ESAT Vertonne",,47.184160,-1.482002,,,1,,
ESCA,"Escall",,47.199374,-1.502850,,,1,,
ESOR,"Écoles",,47.146655,-1.529000,,,1,,
ESUE,"Eugène Sue",,47.233323,-1.596036,,,1,,
EUCA,"Europe",,47.261126,-1.502788,,,1,,
EUVE,"Europe",,47.173084,-1.476535,,,1,,
EVET,"École Vétérinaire",,47.290886,-1.523449,,,1,,
EVRD,"Evardière",,47.298836,-1.566156,,,1,,
FACU,"Facultés",,47.246844,-1.555297,,,1,,
FADI,"Fardière",,47.197942,-1.606672,,,1,,
FALI,"Fallières",,47.224948,-1.579470,,,1,,
FANE,"Faneurs",,47.213708,-1.702753,,,1,,
FATA,"Fantaisie",,47.252626,-1.568156,,,1,,
FAUV,"Fauvelière",,47.283009,-1.505312,,,1,,
FBAU,"François Baudry",,47.262218,-1.671925,,,1,,
FBLA,"Fresche Blanc",,47.252826,-1.556833,,,1,,
FDDR,"Fac de Droit",,47.243753,-1.551960,,,1,,
FDLE,"Fac de Lettres",,47.245345,-1.551895,,,1,,
FERI,"Ferrière",,47.244481,-1.590729,,,1,,
FFAU,"Félix Faure",,47.227006,-1.569419,,,1,,
FGRI,"Fief Guérin",,47.143819,-1.660473,,,1,,
FLAN,"Flandres",,47.285626,-1.547880,,,1,,
FLEU,"Fleuriaye",,47.299267,-1.500202,,,1,,
FLRI,"Floride",,47.213435,-1.603776,,,1,,
FLTR,"Flora Tristan",,47.175819,-1.543715,,,1,,
FLUR,"Fleurs",,47.215838,-1.717686,,,1,,
FMIT,"François Mitterrand",,47.222102,-1.638571,,,1,,
FNLL,"Fresnel",,47.242812,-1.523323,,,1,,
FNSO,"Fenaison",,47.269666,-1.592490,,,1,,
FOCH,"Foch - Cathédrale",,47.218778,-1.550488,,,1,,
FOND,"Fonderies",,47.206416,-1.543914,,,1,,
FORU,"Forum d'Orvault",,47.254442,-1.615224,,,1,,
FOTA,"Fontaine",,47.205540,-1.489109,,,1,,
FOUL,"Foulquier",,47.309821,-1.546301,,,1,,
FRAC,"Frachon",,47.219160,-1.620745,,,1,,
FRBA,"Frébaudière",,47.272282,-1.626547,,,1,,
FRCH,"Fraîches",,47.174876,-1.490529,,,1,,
FRET,"Forêt",,47.244270,-1.575527,,,1,,
FRGA,"Frégate",,47.235226,-1.476041,,,1,,
FRII,"François II",,47.218285,-1.682413,,,1,,
FRKL,"Franklin",,47.225951,-1.619727,,,1,,
FRMO,"Frémoire",,47.153324,-1.476330,,,1,,
FRNE,"Frênes",,47.253238,-1.487655,,,1,,
FRON,"Frêne Rond",,47.190386,-1.496414,,,1,,
FRRR,"Frères Rousseau",,47.126190,-1.628581,,,1,,
FTAB,"Félix Tableau",,47.188200,-1.546791,,,1,,
FTDO,"Fructidor",,47.239424,-1.561168,,,1,,
GADO,"Gandonnière",,47.307038,-1.540574,,,1,,
GAGN,"Gagnerie",,47.232226,-1.507357,,,1,,
GAIL,"Garillère",,47.192496,-1.520681,,,1,,
GALH,"Galheur",,47.166578,-1.580868,,,1,,
GAMB,"Gambetta",,47.223580,-1.538367,,,1,,
GATI,"Gâtine",,47.213404,-1.660599,,,1,,
GAUT,"Gautellerie",,47.177472,-1.602169,,,1,,
GBLO,"Grand Blottereau",,47.229721,-1.511276,,,1,,
GBNI,"Guiblinière",,47.292426,-1.520377,,,1,,
GBTA,"Grande-Bretagne",,47.262296,-1.502141,,,1,,
GCAR,"Grand Carcouët",,47.231296,-1.592116,,,1,,
GCEN,"Grande Censive",,47.251362,-1.549662,,,1,,
GCHE,"Gachet",,47.292600,-1.524033,,,1,,
GCSO,"Glacisol",,47.251654,-1.504597,,,1,,
GDCH,"Gare de Chantenay",,47.197915,-1.593612,,,1,,
GDEN,"Goldens",,47.162031,-1.499631,,,1,,
GDFI,"Grand Fief",,47.125713,-1.625723,,,1,,
GDNN,"Gendronnerie",,47.127048,-1.639872,,,1,,
GDOU,"Grande Ouche",,47.181336,-1.579687,,,1,,
GDPI,"Grande Pièce",,47.199104,-1.509656,,,1,,
GDRE,"Guindré",,47.239536,-1.537409,,,1,,
GELL,"Grande Noëlle",,47.163308,-1.503369,,,1,,
GERA,"Géraudière",,47.261757,-1.567111,,,1,,
GESV,"Gesvrine",,47.269803,-1.552190,,,1,,
GEVR,"Gesvres",,47.263654,-1.548729,,,1,,
GGAU,"Gergaudière",,47.289597,-1.585875,,,1,,
GGNO,"Grignon",,47.216348,-1.466294,,,1,,
GGUI,"Gauguin",,47.166666,-1.554697,,,1,,
GIAR,"Gilarderie",,47.186065,-1.682945,,,1,,
GIBR,"Gibraye",,47.205131,-1.515075,,,1,,
GIND,"Gare d'Indre",,47.204926,-1.662553,,,1,,
GIQU,"Gicquelière",,47.258102,-1.458387,,,1,,
GLAU,"Grillaud",,47.220286,-1.581582,,,1,,
